,diff,y,x,band,spatial_ref,elevation_rema,geometry,index_icesat2,latitude,longitude,velocity,date,elevation_icesat2,dist
112659,20.228254795074463,-1854647.7591836734,1844234.3672814756,1,0,6.9465003,POINT (1844234.3672814756 -1854647.7591836734),1047418,-66.25947317117236,135.16070556455765,,2022-01-09,27.174755096435547,28.94934960482063
112660,22.16871976852417,-1854647.7591836734,1844263.8396150763,1,0,5.0060353,POINT (1844263.8396150763 -1854647.7591836734),1047418,-66.25947317117236,135.16070556455765,,2022-01-09,27.174755096435547,12.81372000386004
112661,22.033873081207275,-1854647.7591836734,1844293.3119486768,1,0,5.262836,POINT (1844293.3119486768 -1854647.7591836734),1047419,-66.2589414684881,135.16055555170232,,2022-01-09,27.296709060668945,29.351072678391446
112662,22.280007362365723,-1854647.7591836734,1844322.7842822776,1,0,5.0167017,POINT (1844322.7842822776 -1854647.7591836734),1047419,-66.2589414684881,135.16055555170232,,2022-01-09,27.296709060668945,29.543154620738964
113908,8.088220596313477,-1854678.2979591836,1844293.3119486768,1,0,19.208488,POINT (1844293.3119486768 -1854678.2979591836),1047419,-66.2589414684881,135.16055555170232,,2022-01-09,27.296709060668945,15.394275220744642
113909,11.909104347229004,-1854678.2979591836,1844322.7842822776,1,0,15.387605,POINT (1844322.7842822776 -1854678.2979591836),1047419,-66.2589414684881,135.16055555170232,,2022-01-09,27.296709060668945,15.757418162399118
115157,3.791006088256836,-1854708.836734694,1844352.256615878,1,0,23.668066,POINT (1844352.256615878 -1854708.836734694),1047420,-66.25841123234466,135.16039353133593,,2022-01-09,27.45907211303711,3.657924316818945
115158,2.4554882049560547,-1854708.836734694,1844381.7289494788,1,0,25.003584,POINT (1844381.7289494788 -1854708.836734694),1047420,-66.25841123234466,135.16039353133593,,2022-01-09,27.45907211303711,26.34111487996186
116404,-0.22937393188476562,-1854739.3755102041,1844352.256615878,1,0,27.688446,POINT (1844352.256615878 -1854739.3755102041),1047420,-66.25841123234466,135.16039353133593,,2022-01-09,27.45907211303711,28.92870725566226
116405,1.62506103515625,-1854739.3755102041,1844381.7289494788,1,0,25.989845,POINT (1844381.7289494788 -1854739.3755102041),1047421,-66.25787765864219,135.16024267493754,,2022-01-09,27.614906311035156,23.144122185793908
116406,1.6854991912841797,-1854739.3755102041,1844411.2012830793,1,0,25.929407,POINT (1844411.2012830793 -1854739.3755102041),1047421,-66.25787765864219,135.16024267493754,,2022-01-09,27.614906311035156,12.394389652697432
117653,1.8316669464111328,-1854769.9142857143,1844411.2012830793,1,0,25.78324,POINT (1844411.2012830793 -1854769.9142857143),1047421,-66.25787765864219,135.16024267493754,,2022-01-09,27.614906311035156,22.837624824123136
117654,1.9021759033203125,-1854769.9142857143,1844440.67361668,1,0,25.856478,POINT (1844440.67361668 -1854769.9142857143),1047423,-66.2573446498582,135.1600921624831,,2022-01-09,27.75865364074707,19.29356544870849
117655,1.9949817657470703,-1854769.9142857143,1844470.1459502808,1,0,25.763672,POINT (1844470.1459502808 -1854769.9142857143),1047423,-66.2573446498582,135.1600921624831,,2022-01-09,27.75865364074707,25.850418416191317
118901,2.289449691772461,-1854800.4530612244,1844440.67361668,1,0,25.469204,POINT (1844440.67361668 -1854800.4530612244),1047423,-66.2573446498582,135.1600921624831,,2022-01-09,27.75865364074707,16.93306937963799
118902,2.6834850311279297,-1854800.4530612244,1844470.1459502808,1,0,25.075169,POINT (1844470.1459502808 -1854800.4530612244),1047423,-66.2573446498582,135.1600921624831,,2022-01-09,27.75865364074707,24.139828151505114
118903,2.617084503173828,-1854800.4530612244,1844499.6182838813,1,0,25.229706,POINT (1844499.6182838813 -1854800.4530612244),1047425,-66.25681213479194,135.15995320367412,,2022-01-09,27.846790313720703,24.524757846881304
120149,2.765819549560547,-1854830.9918367346,1844470.1459502808,1,0,25.08097,POINT (1844470.1459502808 -1854830.9918367346),1047425,-66.25681213479194,135.15995320367412,,2022-01-09,27.846790313720703,27.947534855908344
120150,2.456960678100586,-1854830.9918367346,1844499.6182838813,1,0,25.38983,POINT (1844499.6182838813 -1854830.9918367346),1047425,-66.25681213479194,135.15995320367412,,2022-01-09,27.846790313720703,6.497383942737073
121398,2.3349456787109375,-1854861.530612245,1844529.090617482,1,0,25.625313,POINT (1844529.090617482 -1854861.530612245),1047427,-66.256279684518,135.15980262387768,,2022-01-09,27.96025848388672,15.776776467452303
121399,1.8845977783203125,-1854861.530612245,1844558.5629510826,1,0,26.07566,POINT (1844558.5629510826 -1854861.530612245),1047427,-66.256279684518,135.15980262387768,,2022-01-09,27.96025848388672,13.80422911979195
122647,1.9920272827148438,-1854892.0693877551,1844588.0352846833,1,0,26.082201,POINT (1844588.0352846833 -1854892.0693877551),1047429,-66.2557462869636,135.15965198796368,,2022-01-09,28.074228286743164,9.699840288365088
122648,2.5431690216064453,-1854892.0693877551,1844617.5076182839,1,0,25.53106,POINT (1844617.5076182839 -1854892.0693877551),1047429,-66.2557462869636,135.15965198796368,,2022-01-09,28.074228286743164,26.676803765034443
123894,1.9247474670410156,-1854922.6081632653,1844588.0352846833,1,0,26.14948,POINT (1844588.0352846833 -1854922.6081632653),1047429,-66.2557462869636,135.15965198796368,,2022-01-09,28.074228286743164,22.23575751680612
123895,1.5904388427734375,-1854922.6081632653,1844617.5076182839,1,0,26.608217,POINT (1844617.5076182839 -1854922.6081632653),1047431,-66.25521380335068,135.15950190422473,,2022-01-09,28.19865608215332,27.408267685522997
123896,1.6618270874023438,-1854922.6081632653,1844646.9799518846,1,0,26.536829,POINT (1844646.9799518846 -1854922.6081632653),1047431,-66.25521380335068,135.15950190422473,,2022-01-09,28.19865608215332,17.68601709091586
125142,1.6170578002929688,-1854953.1469387754,1844617.5076182839,1,0,26.581598,POINT (1844617.5076182839 -1854953.1469387754),1047431,-66.25521380335068,135.15950190422473,,2022-01-09,28.19865608215332,26.455183399780285
125143,1.3943843841552734,-1854953.1469387754,1844646.9799518846,1,0,26.804272,POINT (1844646.9799518846 -1854953.1469387754),1047431,-66.25521380335068,135.15950190422473,,2022-01-09,28.19865608215332,16.16968743466905
125144,1.6585216522216797,-1854953.1469387754,1844676.452285485,1,0,26.620497,POINT (1844676.452285485 -1854953.1469387754),1047433,-66.25468138061504,135.15935163210005,,2022-01-09,28.27901840209961,25.781912550677763
126391,1.765676498413086,-1854983.6857142856,1844676.452285485,1,0,26.513342,POINT (1844676.452285485 -1854983.6857142856),1047433,-66.25468138061504,135.15935163210005,,2022-01-09,28.27901840209961,12.742477409902184
